基金統編,nav_now,nav_1y,nav_3y,nav_5y,R1y,R3y,R5y,score,基金名稱
76959044,23.12,18.66,10.77,12.59,23.901393354769574,114.67038068709381,83.63780778395554,63.079372440304034,元大台灣高股息優質龍頭基金-新台幣A類型不配息 (本基金之配息來源可能為收益平準金且並無保證收益及配息)
17147078,114.29,99.14,56.72,52.86,15.281420213839025,101.49858956276448,116.2126371547484,61.33281440669853,富邦精選五虎基金
97988636,100.16,77.63,48.12,58.49,29.022285199020992,108.14630091438073,71.24294751239526,61.20362237630377,PGIM保德信店頭市場基金
17608487,112.38,92.05,52.67,64.56,22.085822922324816,113.36624264287067,74.07063197026021,59.866910648075645,復華數位經濟基金
88095396,22.37,19.04,10.83,11.43,17.489495798319332,106.55586334256695,95.71303587051621,59.854114076033,富邦台灣高股息基金-A類型
00974018,35.58,31.14,15.83,21.5,14.25818882466281,124.76310802274159,65.48837209302324,57.65570123775853,富邦基金A類型
92028997,124.45,93.67,72.4,67.45,32.86004056795131,71.89226519337015,84.50704225352112,54.899108292690926,群益中小型股基金
01032162,120.81,99.24,64.71,65.83,21.73518742442564,86.69448307834958,83.5181528178642,53.57956919929053,摩根台灣增長基金
00965469,37.12,30.13,23.93,19.1,23.19946896780616,55.119097367321345,94.34554973821987,47.00457364174346,兆豐第一基金
77074486,22.4,20.81,13.47,12.65,7.640557424315242,66.29547141796583,77.07509881422922,39.12393990039321,永豐臺灣ESG永續優選基金-A累積類型
17602625,19.41,16.95,12.29,12.3,14.5132743362832,57.93327908868999,57.80487804878047,36.19759650450469,PGIM保德信新世紀基金
20081352,202.52,174.16,134.71,126.03,16.283876894809367,50.3377626011432,60.69189875426486,35.381646978600614,群益店頭市場基金
76941376,49.92,52.46,49.17,47.13,-4.841784216545941,1.5253203172666208,5.919796308084013,-0.7793367514761815,匯豐成功基金
01050148,14.37,46.02,32.45,31.27,-68.77444589308996,-55.716486902927585,-54.04541093700033,-61.911251204823316,兆豐國民基金-TISA類型
